reaction_id,reaction_smiles
ord-4dd72fee5c294abbb8cdefc25f205782,Clc1ccnc(Cl)n1.c1ccc2c(c1)CCCN2>CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>Clc1nccc(N2CCCc3ccccc32)n1
ord-2cb0b90157da471ebcc18c85cfe6adf7,CNC(=O)c1ccccc1Nc1cc(Cl)ncc1C(F)(F)F.Cc1nn(C)cc1N>C1CCCC1.CC(=O)O.CC(=O)O.CC(C)(C)[O-].CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.COCCOC.[Fe].[Na+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2cn(C)nc2C)ncc1C(F)(F)F
ord-b8e52e6f1bc8459e8364a7285d41ce7c,N#Cc1ccc(-c2csc(Br)n2)cc1.O=C1NCCO1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>N#Cc1ccc(-c2csc(N3CCOC3=O)n2)cc1
ord-96575886127b4df4af262fbd2602568c,CNC(=O)c1ccc(F)cc1Nc1cc(Cl)ncc1Cl.Cc1nn(C)cc1N.Cl.Cl>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccc(F)cc1Nc1cc(Nc2cn(C)nc2C)ncc1Cl
ord-78ee6abad7ea4585a19ca47439cdac57,CN1CCNCC1.COC(=O)c1ccc(OCc2ncccc2Br)cc1>CC(=O)N(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>COC(=O)c1ccc(OCc2ncccc2N2CCN(C)CC2)cc1
ord-58bee23c6bfd4e46abec561eea6c720a,CN(C)[C@H]1CCNC1.N#Cc1ccc(Cl)cc1Br>Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>CN(C)[C@H]1CCN(c2cc(Cl)ccc2C#N)C1
ord-7ef9bb9d04ab4703a01fe4c2dfba9490,CC(C)(C)OC(=O)N1CCNCC1.Cc1cc(F)ccc1Br>Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>Cc1cc(F)ccc1N1CCN(C(=O)OC(C)(C)C)CC1
ord-05c2bb441c604216aeaf67d50ac253bb,CC(C)(C)OC(=O)N1CCNCC1.Fc1ccc(Br)c(C(F)(F)F)c1>Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>CC(C)(C)OC(=O)N1CCN(c2ccc(F)cc2C(F)(F)F)CC1
ord-e6979ae841a4470289e0e5d2e2b42616,CC(=O)N1CC2CNCC(C1)O2.COc1ccc(Br)cc1[N+](=O)[O-]>CC(=O)O.CC(=O)O.COCCOC.O=P([O-])([O-])[O-].[K+].[K+].[K+].[Pd].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1>COc1ccc(N2CC3CN(C(C)=O)CC(C2)O3)cc1[N+](=O)[O-]
ord-d1855bc74886445fbdfc0eab57bed8cb,CCC[C@H](N)CO.Cc1nc(N)nc(Cl)c1Cc1ccc(CC#N)cc1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[K+].[K+].[Pd]>CCC[C@@H](CO)Nc1nc(N)nc(C)c1Cc1ccc(CC#N)cc1
ord-484b31bdd1aa4746881181205ba1de67,CC[C@H]1CNC(=O)O1.Cc1nc(/N=C/N(C)C)nc(Cl)c1Cc1ccc(CC#N)cc1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[K+].[K+].[Pd]>CC[C@H]1CN(c2nc(/N=C/N(C)C)nc(C)c2Cc2ccc(CC#N)cc2)C(=O)O1
